date,eda_scl_usiemens,participant_id
2023-12-24,99.9,1
2023-12-25,5.6,1
2023-12-26,27.2,1
2023-12-27,0.0,1
2023-12-28,6.5,1
2023-12-29,56.5,1
2023-12-30,52.2,1
2024-01-09,11.4,2
2024-01-10,8.4,2
2024-01-11,11.4,2
2024-01-12,11.5,2
2024-02-12,54.4,3
2024-02-13,0.1,3
2024-02-14,8.3,3
2024-02-15,4.2,3
2024-02-16,25.6,3
2024-02-17,11.8,3
2024-02-18,4.9,3
2024-02-19,12.0,3
2024-02-20,0.0,3
2024-02-21,82.4,3
2024-03-04,93.1,4
2024-03-05,0.1,4
2024-03-06,10.5,4
2024-03-07,1.8,4
2024-03-08,0.7,4
2024-03-09,5.9,4
2024-03-10,47.1,4
2024-03-11,13.8,4
2024-03-12,27.4,4
2024-03-13,0.1,4
2024-03-14,12.4,4
2024-03-15,68.0,4
2024-03-20,71.5,5
2024-03-21,2.2,5
2024-03-22,4.4,5
2024-03-23,6.0,5
2024-03-24,11.6,5
2024-03-25,0.0,5
2024-03-26,6.5,5
2024-03-27,1.0,5
2024-03-28,57.0,5
2024-03-28,98.5,6
2024-04-01,3.3,6
2024-04-02,3.8,6
2024-04-03,1.9,6
2024-04-04,3.9,6
2024-04-05,43.6,6
2024-04-06,6.7,6
2024-04-07,2.4,6
2024-04-08,5.8,6
2024-04-09,10.6,6
2024-04-10,14.4,6
2024-04-11,55.4,6
2024-04-14,96.9,7
2024-04-15,0.0,7
2024-04-16,1.6,7
2024-04-17,3.0,7
2024-04-18,2.6,7
2024-04-19,4.7,7
2024-04-20,4.3,7
2024-04-21,0.9,7
2024-04-22,8.5,7
2024-04-23,13.2,7
2024-04-24,1.0,7
2024-04-25,13.1,7
2024-04-26,0.0,7
2024-04-27,59.4,7
2024-05-07,69.4,8
2024-05-08,0.6,8
2024-05-09,4.2,8
2024-05-10,1.3,8
2024-05-11,8.0,8
2024-05-12,5.8,8
2024-05-13,6.7,8
2024-05-14,7.4,8
2024-05-15,5.2,8
2024-05-16,7.6,8
2023-12-16,65.1,9
2023-12-17,0.1,9
2023-12-18,50.6,9
2023-12-19,2.5,9
2023-12-20,36.7,9
2023-12-21,5.6,9
2023-12-22,34.9,9
