file,timestamp_iso,accelerometers_std_g,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute,respiratory_rate_brpm,missing_value_reason
cleaned_2024-03-04.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
cleaned_2024-03-05.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4,
cleaned_2024-03-06.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8,0.0,19.2,0.0,0.0,0.0,0.0,0.0,88.2,
cleaned_2024-03-07.csv,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,78.1,0.6,0.6,0.6,0.6,0.0,0.0,0.0,93.4,99.4
cleaned_2024-03-08.csv,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,78.1,0.7,0.7,0.7,0.7,0.0,0.0,0.0,91.3,99.3
cleaned_2024-03-09.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,91.4,99.0
cleaned_2024-03-10.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4,
cleaned_2024-03-11.csv,0.0,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,86.8,13.7,13.7,13.7,13.7,0.0,0.0,0.0,89.6,86.3
cleaned_2024-03-12.csv,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,63.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,87.1,99.7
cleaned_2024-03-13.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6,
cleaned_2024-03-14.csv,0.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.5,7.5,85.1,7.5,7.5,7.5,7.5,0.0,0.0,0.0,94.4,92.5
cleaned_2024-03-15.csv,0.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.7,24.7,24.5,24.5,59.7,24.5,37.5,24.5,24.5,0.0,0.0,0.0,66.3,75.5
