file,timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute,prv_rmssd_ms,respiratory_rate_brpm
cleaned_2024-03-28.csv,0.0,4.5,95.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,50.0,4.5,4.5,0.0,0.0,0.0,,
cleaned_2024-04-01.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7,69.9
cleaned_2024-04-02.csv,0.0,0.4,99.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,70.3,64.3
cleaned_2024-04-03.csv,0.0,0.4,99.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,74.5,77.2
cleaned_2024-04-04.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,79.1
cleaned_2024-04-05.csv,0.0,39.4,60.6,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,0.0,0.0,0.0,99.9,
cleaned_2024-04-06.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,77.4
cleaned_2024-04-07.csv,0.0,1.3,98.7,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,65.8,63.5
cleaned_2024-04-08.csv,0.0,2.1,97.9,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0,0.0,78.4,72.3
cleaned_2024-04-09.csv,0.0,1.8,98.2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.7,2.7,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,0.0,76.2,72.1
cleaned_2024-04-10.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3,79.0
cleaned_2024-04-11.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,57.2
