timestamp_iso,accelerometers_std_g,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,respiratory_rate_brpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
2023-12-27 00:00:00+00:00,0.151,2715,2941,1506,4276,generic,121.0,MPA,standing,standing,0.0,3.7,,105,,0,101,31.33,100,0,0
2023-12-27 00:01:00+00:00,0.224,4543,5563,2067,7473,generic,129.0,MPA,standing,standing,0.0,4.97,,113,,0,115,31.3,100,0,1
2023-12-27 00:02:00+00:00,0.092,2577,2022,2239,3967,generic,122.0,VPA,standing,standing,0.0,6.39,,113,,0,23,31.23,100,0,2
2023-12-27 00:03:00+00:00,0.141,3335,2590,1990,4668,generic,123.0,LPA,sitting_reclining_lying,standing,0.0,2.98,,108,,0,80,30.95,100,0,3
2023-12-27 00:04:00+00:00,0.066,2042,1542,2269,3419,generic,98.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.0,2.76,,115,,0,35,30.64,100,0,4
2023-12-27 00:05:00+00:00,0.008,46,133,120,184,still,33.0,sedentary,sitting_reclining_lying,miscellaneous,0.0,0.95,,91,,0,0,30.74,100,0,5
2023-12-27 00:06:00+00:00,0.032,426,1251,1281,1840,generic,68.0,sedentary,sitting_reclining_lying,miscellaneous,0.0,1.39,,91,,0,0,31.11,100,0,6
2023-12-27 00:07:00+00:00,0.023,381,589,290,759,generic,71.0,sedentary,miscellaneous,sitting_reclining_lying,0.0,1.01,,91,,0,0,31.52,100,0,7
2023-12-27 00:08:00+00:00,0.018,310,706,589,970,generic,55.0,sedentary,standing,sitting_reclining_lying,0.0,1.17,,85,,0,0,31.81,100,0,8
2023-12-27 00:09:00+00:00,0.02,390,320,708,869,generic,49.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.0,1.36,,86,,0,0,32.3,100,0,9
2023-12-27 00:10:00+00:00,0.009,150,43,89,179,still,17.0,sedentary,sitting_reclining_lying,standing,0.0,1.12,,88,,0,0,32.94,100,0,10
2023-12-27 00:11:00+00:00,0.03,247,332,250,483,generic,55.0,LPA,sitting_reclining_lying,standing,0.0,2.04,,92,,0,0,33.27,100,0,11
2023-12-27 00:12:00+00:00,0.024,255,210,773,840,generic,45.0,LPA,sitting_reclining_lying,standing,0.0,1.84,,89,,0,0,33.43,100,0,12
2023-12-27 00:13:00+00:00,0.015,347,343,1042,1150,generic,41.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.0,1.14,,92,,0,0,33.62,100,0,13
2023-12-27 00:14:00+00:00,0.04,961,1211,843,1760,generic,59.0,LPA,miscellaneous,miscellaneous,0.0,2.07,,90,,0,14,33.68,100,0,14
2023-12-27 00:15:00+00:00,0.029,360,806,681,1114,still,34.0,LPA,sitting_reclining_lying,standing,0.0,2.32,,89,,0,0,33.91,100,0,15
2023-12-27 00:16:00+00:00,0.06,1326,1094,905,1942,generic,87.0,MPA,standing,standing,0.0,3.06,,89,,0,5,34.11,100,0,16
2023-12-27 00:17:00+00:00,0.01,114,178,88,228,generic,24.0,sedentary,sitting_reclining_lying,standing,0.0,0.95,,91,,0,0,34.28,100,0,17
2023-12-27 00:18:00+00:00,0.005,89,138,54,172,generic,14.0,sedentary,sitting_reclining_lying,standing,0.0,0.95,,89,,0,0,34.61,100,0,18
2023-12-27 00:19:00+00:00,0.028,614,871,937,1419,generic,64.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.0,1.37,,93,,0,5,34.8,100,0,19
