timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,respiratory_rate_brpm,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
2024-04-24 00:00:00+00:00,0.013,,266.0,392.0,315.0,568.0,still,31.0,sedentary,sitting_reclining_lying,standing,1.02,1.06,,59.0,,0.0,33.2,100,0,0
2024-04-24 00:01:00+00:00,0.087,,2778.0,2073.0,2765.0,4433.0,generic,144.0,MPA,standing,standing,1.01,4.32,,66.0,,32.0,33.07,100,0,1
2024-04-24 00:02:00+00:00,0.098,,5073.0,3545.0,4419.0,7604.0,generic,142.0,LPA,sitting_reclining_lying,sitting_reclining_lying,1.0,2.87,,49.0,,59.0,32.81,100,0,2
2024-04-24 00:03:00+00:00,0.088,,3481.0,2483.0,3844.0,5749.0,generic,132.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.99,2.75,,56.0,,35.0,32.59,100,0,3
2024-04-24 00:04:00+00:00,0.055,,2571.0,1852.0,1774.0,3631.0,generic,97.0,LPA,standing,sitting_reclining_lying,0.99,2.49,,65.0,,13.0,32.41,100,0,4
2024-04-24 00:05:00+00:00,0.026,,937.0,789.0,646.0,1384.0,still,49.0,LPA,standing,sitting_reclining_lying,0.97,2.96,,65.0,,0.0,32.28,100,0,5
2024-04-24 00:06:00+00:00,0.018,,527.0,60.0,344.0,632.0,still,28.0,LPA,standing,sitting_reclining_lying,0.93,2.0,,53.0,,5.0,32.02,100,0,6
2024-04-24 00:07:00+00:00,0.017,,668.0,666.0,552.0,1092.0,still,15.0,LPA,standing,sitting_reclining_lying,0.9,2.32,,57.0,,0.0,31.97,100,0,7
2024-04-24 00:08:00+00:00,0.005,,0.0,0.0,0.0,0.0,still,5.0,sedentary,standing,sitting_reclining_lying,0.9,0.95,,60.0,,0.0,31.81,100,0,8
2024-04-24 00:09:00+00:00,0.004,,0.0,0.0,0.0,0.0,still,2.0,sedentary,standing,sitting_reclining_lying,0.9,0.95,,58.0,,0.0,31.77,100,0,9
2024-04-24 00:10:00+00:00,0.004,,0.0,0.0,0.0,0.0,still,1.0,sedentary,standing,sitting_reclining_lying,0.88,0.95,,62.0,,0.0,31.77,100,0,10
2024-04-24 00:11:00+00:00,0.004,,0.0,0.0,0.0,0.0,still,1.0,sedentary,standing,sitting_reclining_lying,0.85,0.95,,61.0,,0.0,31.76,100,0,11
2024-04-24 00:12:00+00:00,0.004,,34.0,13.0,0.0,36.0,still,3.0,sedentary,standing,sitting_reclining_lying,0.85,0.95,,62.0,,0.0,31.82,100,0,12
2024-04-24 00:13:00+00:00,0.003,,0.0,0.0,0.0,0.0,still,0.0,sedentary,standing,sitting_reclining_lying,0.84,0.95,,63.0,,0.0,31.9,100,0,13
2024-04-24 00:14:00+00:00,0.004,,0.0,0.0,0.0,0.0,still,4.0,sedentary,standing,sitting_reclining_lying,0.84,0.95,,65.0,,0.0,31.98,100,0,14
