timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1703462400000,2023-12-25T00:00:00Z,288-1-1-111,generic,
1703462460000,2023-12-25T00:01:00Z,288-1-1-111,generic,
1703462520000,2023-12-25T00:02:00Z,288-1-1-111,generic,
1703462580000,2023-12-25T00:03:00Z,288-1-1-111,generic,
1703462640000,2023-12-25T00:04:00Z,288-1-1-111,generic,
1703462700000,2023-12-25T00:05:00Z,288-1-1-111,generic,
1703462760000,2023-12-25T00:06:00Z,288-1-1-111,generic,
1703462820000,2023-12-25T00:07:00Z,288-1-1-111,generic,
1703462880000,2023-12-25T00:08:00Z,288-1-1-111,generic,
1703462940000,2023-12-25T00:09:00Z,288-1-1-111,generic,
1703463000000,2023-12-25T00:10:00Z,288-1-1-111,generic,
1703463060000,2023-12-25T00:11:00Z,288-1-1-111,generic,
1703463120000,2023-12-25T00:12:00Z,288-1-1-111,generic,
1703463180000,2023-12-25T00:13:00Z,288-1-1-111,generic,
1703463240000,2023-12-25T00:14:00Z,288-1-1-111,generic,
1703463300000,2023-12-25T00:15:00Z,288-1-1-111,generic,
1703463360000,2023-12-25T00:16:00Z,288-1-1-111,generic,
1703463420000,2023-12-25T00:17:00Z,288-1-1-111,generic,
1703463480000,2023-12-25T00:18:00Z,288-1-1-111,generic,
1703463540000,2023-12-25T00:19:00Z,288-1-1-111,generic,
1703463600000,2023-12-25T00:20:00Z,288-1-1-111,generic,
1703463660000,2023-12-25T00:21:00Z,288-1-1-111,generic,
1703463720000,2023-12-25T00:22:00Z,288-1-1-111,,device_not_recording
1703463780000,2023-12-25T00:23:00Z,288-1-1-111,,device_not_recording
1703463840000,2023-12-25T00:24:00Z,288-1-1-111,,device_not_recording
1703463900000,2023-12-25T00:25:00Z,288-1-1-111,,device_not_recording
1703463960000,2023-12-25T00:26:00Z,288-1-1-111,,device_not_recording
1703464020000,2023-12-25T00:27:00Z,288-1-1-111,,device_not_recording
1703464080000,2023-12-25T00:28:00Z,288-1-1-111,,device_not_recording
1703464140000,2023-12-25T00:29:00Z,288-1-1-111,,device_not_recording
1703464200000,2023-12-25T00:30:00Z,288-1-1-111,,device_not_recording
1703464260000,2023-12-25T00:31:00Z,288-1-1-111,,device_not_recording
1703464320000,2023-12-25T00:32:00Z,288-1-1-111,,device_not_recording
1703464380000,2023-12-25T00:33:00Z,288-1-1-111,generic,
1703464440000,2023-12-25T00:34:00Z,288-1-1-111,generic,
1703464500000,2023-12-25T00:35:00Z,288-1-1-111,still,
1703464560000,2023-12-25T00:36:00Z,288-1-1-111,still,
1703464620000,2023-12-25T00:37:00Z,288-1-1-111,generic,
1703464680000,2023-12-25T00:38:00Z,288-1-1-111,generic,
1703464740000,2023-12-25T00:39:00Z,288-1-1-111,still,
1703464800000,2023-12-25T00:40:00Z,288-1-1-111,,device_not_recording
1703464860000,2023-12-25T00:41:00Z,288-1-1-111,,device_not_recording
1703464920000,2023-12-25T00:42:00Z,288-1-1-111,,device_not_recording
1703464980000,2023-12-25T00:43:00Z,288-1-1-111,,device_not_recording
1703465040000,2023-12-25T00:44:00Z,288-1-1-111,,device_not_recording
1703465100000,2023-12-25T00:45:00Z,288-1-1-111,,device_not_recording
1703465160000,2023-12-25T00:46:00Z,288-1-1-111,,device_not_recording
1703465220000,2023-12-25T00:47:00Z,288-1-1-111,generic,
1703465280000,2023-12-25T00:48:00Z,288-1-1-111,still,
1703465340000,2023-12-25T00:49:00Z,288-1-1-111,generic,
1703465400000,2023-12-25T00:50:00Z,288-1-1-111,still,
1703465460000,2023-12-25T00:51:00Z,288-1-1-111,generic,
1703465520000,2023-12-25T00:52:00Z,288-1-1-111,still,
1703465580000,2023-12-25T00:53:00Z,288-1-1-111,still,
1703465640000,2023-12-25T00:54:00Z,288-1-1-111,generic,
1703465700000,2023-12-25T00:55:00Z,288-1-1-111,generic,
1703465760000,2023-12-25T00:56:00Z,288-1-1-111,generic,
1703465820000,2023-12-25T00:57:00Z,288-1-1-111,generic,
1703465880000,2023-12-25T00:58:00Z,288-1-1-111,generic,
1703465940000,2023-12-25T00:59:00Z,288-1-1-111,generic,
1703466000000,2023-12-25T01:00:00Z,288-1-1-111,generic,
1703466060000,2023-12-25T01:01:00Z,288-1-1-111,generic,
1703466120000,2023-12-25T01:02:00Z,288-1-1-111,generic,
1703466180000,2023-12-25T01:03:00Z,288-1-1-111,still,
1703466240000,2023-12-25T01:04:00Z,288-1-1-111,generic,
1703466300000,2023-12-25T01:05:00Z,288-1-1-111,still,
1703466360000,2023-12-25T01:06:00Z,288-1-1-111,generic,
1703466420000,2023-12-25T01:07:00Z,288-1-1-111,generic,
1703466480000,2023-12-25T01:08:00Z,288-1-1-111,generic,
1703466540000,2023-12-25T01:09:00Z,288-1-1-111,generic,
1703466600000,2023-12-25T01:10:00Z,288-1-1-111,generic,
1703466660000,2023-12-25T01:11:00Z,288-1-1-111,generic,
1703466720000,2023-12-25T01:12:00Z,288-1-1-111,generic,
1703466780000,2023-12-25T01:13:00Z,288-1-1-111,generic,
1703466840000,2023-12-25T01:14:00Z,288-1-1-111,generic,
1703466900000,2023-12-25T01:15:00Z,288-1-1-111,generic,
1703466960000,2023-12-25T01:16:00Z,288-1-1-111,generic,
1703467020000,2023-12-25T01:17:00Z,288-1-1-111,generic,
1703467080000,2023-12-25T01:18:00Z,288-1-1-111,generic,
1703467140000,2023-12-25T01:19:00Z,288-1-1-111,generic,
1703467200000,2023-12-25T01:20:00Z,288-1-1-111,generic,
1703467260000,2023-12-25T01:21:00Z,288-1-1-111,generic,
1703467320000,2023-12-25T01:22:00Z,288-1-1-111,generic,
1703467380000,2023-12-25T01:23:00Z,288-1-1-111,still,
1703467440000,2023-12-25T01:24:00Z,288-1-1-111,generic,
1703467500000,2023-12-25T01:25:00Z,288-1-1-111,generic,
1703467560000,2023-12-25T01:26:00Z,288-1-1-111,still,
1703467620000,2023-12-25T01:27:00Z,288-1-1-111,generic,
1703467680000,2023-12-25T01:28:00Z,288-1-1-111,generic,
1703467740000,2023-12-25T01:29:00Z,288-1-1-111,generic,
1703467800000,2023-12-25T01:30:00Z,288-1-1-111,generic,
1703467860000,2023-12-25T01:31:00Z,288-1-1-111,generic,
1703467920000,2023-12-25T01:32:00Z,288-1-1-111,generic,
1703467980000,2023-12-25T01:33:00Z,288-1-1-111,generic,
1703468040000,2023-12-25T01:34:00Z,288-1-1-111,generic,
1703468100000,2023-12-25T01:35:00Z,288-1-1-111,generic,
1703468160000,2023-12-25T01:36:00Z,288-1-1-111,generic,
1703468220000,2023-12-25T01:37:00Z,288-1-1-111,generic,
1703468280000,2023-12-25T01:38:00Z,288-1-1-111,generic,
1703468340000,2023-12-25T01:39:00Z,288-1-1-111,generic,
1703468400000,2023-12-25T01:40:00Z,288-1-1-111,generic,
1703468460000,2023-12-25T01:41:00Z,288-1-1-111,generic,
1703468520000,2023-12-25T01:42:00Z,288-1-1-111,generic,
1703468580000,2023-12-25T01:43:00Z,288-1-1-111,generic,
1703468640000,2023-12-25T01:44:00Z,288-1-1-111,generic,
1703468700000,2023-12-25T01:45:00Z,288-1-1-111,generic,
1703468760000,2023-12-25T01:46:00Z,288-1-1-111,generic,
1703468820000,2023-12-25T01:47:00Z,288-1-1-111,still,
1703468880000,2023-12-25T01:48:00Z,288-1-1-111,generic,
1703468940000,2023-12-25T01:49:00Z,288-1-1-111,still,
1703469000000,2023-12-25T01:50:00Z,288-1-1-111,still,
1703469060000,2023-12-25T01:51:00Z,288-1-1-111,still,
1703469120000,2023-12-25T01:52:00Z,288-1-1-111,still,
1703469180000,2023-12-25T01:53:00Z,288-1-1-111,still,
1703469240000,2023-12-25T01:54:00Z,288-1-1-111,still,
1703469300000,2023-12-25T01:55:00Z,288-1-1-111,still,
1703469360000,2023-12-25T01:56:00Z,288-1-1-111,still,
1703469420000,2023-12-25T01:57:00Z,288-1-1-111,still,
1703469480000,2023-12-25T01:58:00Z,288-1-1-111,still,
1703469540000,2023-12-25T01:59:00Z,288-1-1-111,still,
1703469600000,2023-12-25T02:00:00Z,288-1-1-111,still,
1703469660000,2023-12-25T02:01:00Z,288-1-1-111,still,
1703469720000,2023-12-25T02:02:00Z,288-1-1-111,generic,
1703469780000,2023-12-25T02:03:00Z,288-1-1-111,generic,
1703469840000,2023-12-25T02:04:00Z,288-1-1-111,generic,
1703469900000,2023-12-25T02:05:00Z,288-1-1-111,generic,
1703469960000,2023-12-25T02:06:00Z,288-1-1-111,generic,
1703470020000,2023-12-25T02:07:00Z,288-1-1-111,generic,
1703470080000,2023-12-25T02:08:00Z,288-1-1-111,generic,
1703470140000,2023-12-25T02:09:00Z,288-1-1-111,generic,
1703470200000,2023-12-25T02:10:00Z,288-1-1-111,generic,
1703470260000,2023-12-25T02:11:00Z,288-1-1-111,generic,
1703470320000,2023-12-25T02:12:00Z,288-1-1-111,generic,
1703470380000,2023-12-25T02:13:00Z,288-1-1-111,generic,
1703470440000,2023-12-25T02:14:00Z,288-1-1-111,generic,
1703470500000,2023-12-25T02:15:00Z,288-1-1-111,generic,
1703470560000,2023-12-25T02:16:00Z,288-1-1-111,generic,
1703470620000,2023-12-25T02:17:00Z,288-1-1-111,generic,
1703470680000,2023-12-25T02:18:00Z,288-1-1-111,generic,
1703470740000,2023-12-25T02:19:00Z,288-1-1-111,generic,
1703470800000,2023-12-25T02:20:00Z,288-1-1-111,generic,
1703470860000,2023-12-25T02:21:00Z,288-1-1-111,generic,
1703470920000,2023-12-25T02:22:00Z,288-1-1-111,generic,
1703470980000,2023-12-25T02:23:00Z,288-1-1-111,generic,
1703471040000,2023-12-25T02:24:00Z,288-1-1-111,generic,
1703471100000,2023-12-25T02:25:00Z,288-1-1-111,generic,
1703471160000,2023-12-25T02:26:00Z,288-1-1-111,generic,
1703471220000,2023-12-25T02:27:00Z,288-1-1-111,generic,
1703471280000,2023-12-25T02:28:00Z,288-1-1-111,generic,
1703471340000,2023-12-25T02:29:00Z,288-1-1-111,generic,
1703471400000,2023-12-25T02:30:00Z,288-1-1-111,generic,
1703471460000,2023-12-25T02:31:00Z,288-1-1-111,generic,
1703471520000,2023-12-25T02:32:00Z,288-1-1-111,generic,
1703471580000,2023-12-25T02:33:00Z,288-1-1-111,generic,
1703471640000,2023-12-25T02:34:00Z,288-1-1-111,generic,
1703471700000,2023-12-25T02:35:00Z,288-1-1-111,still,
1703471760000,2023-12-25T02:36:00Z,288-1-1-111,generic,
1703471820000,2023-12-25T02:37:00Z,288-1-1-111,generic,
1703471880000,2023-12-25T02:38:00Z,288-1-1-111,still,
1703471940000,2023-12-25T02:39:00Z,288-1-1-111,generic,
1703472000000,2023-12-25T02:40:00Z,288-1-1-111,generic,
1703472060000,2023-12-25T02:41:00Z,288-1-1-111,still,
1703472120000,2023-12-25T02:42:00Z,288-1-1-111,still,
1703472180000,2023-12-25T02:43:00Z,288-1-1-111,still,
1703472240000,2023-12-25T02:44:00Z,288-1-1-111,generic,
1703472300000,2023-12-25T02:45:00Z,288-1-1-111,still,
1703472360000,2023-12-25T02:46:00Z,288-1-1-111,generic,
1703472420000,2023-12-25T02:47:00Z,288-1-1-111,generic,
1703472480000,2023-12-25T02:48:00Z,288-1-1-111,still,
1703472540000,2023-12-25T02:49:00Z,288-1-1-111,still,
1703472600000,2023-12-25T02:50:00Z,288-1-1-111,generic,
1703472660000,2023-12-25T02:51:00Z,288-1-1-111,generic,
1703472720000,2023-12-25T02:52:00Z,288-1-1-111,generic,
1703472780000,2023-12-25T02:53:00Z,288-1-1-111,generic,
1703472840000,2023-12-25T02:54:00Z,288-1-1-111,generic,
1703472900000,2023-12-25T02:55:00Z,288-1-1-111,generic,
1703472960000,2023-12-25T02:56:00Z,288-1-1-111,generic,
1703473020000,2023-12-25T02:57:00Z,288-1-1-111,generic,
1703473080000,2023-12-25T02:58:00Z,288-1-1-111,generic,
1703473140000,2023-12-25T02:59:00Z,288-1-1-111,generic,
1703473200000,2023-12-25T03:00:00Z,288-1-1-111,generic,
1703473260000,2023-12-25T03:01:00Z,288-1-1-111,generic,
1703473320000,2023-12-25T03:02:00Z,288-1-1-111,generic,
1703473380000,2023-12-25T03:03:00Z,288-1-1-111,generic,
1703473440000,2023-12-25T03:04:00Z,288-1-1-111,still,
1703473500000,2023-12-25T03:05:00Z,288-1-1-111,generic,
1703473560000,2023-12-25T03:06:00Z,288-1-1-111,generic,
1703473620000,2023-12-25T03:07:00Z,288-1-1-111,generic,
1703473680000,2023-12-25T03:08:00Z,288-1-1-111,generic,
1703473740000,2023-12-25T03:09:00Z,288-1-1-111,generic,
1703473800000,2023-12-25T03:10:00Z,288-1-1-111,generic,
1703473860000,2023-12-25T03:11:00Z,288-1-1-111,generic,
1703473920000,2023-12-25T03:12:00Z,288-1-1-111,generic,
1703473980000,2023-12-25T03:13:00Z,288-1-1-111,generic,
1703474040000,2023-12-25T03:14:00Z,288-1-1-111,generic,
1703474100000,2023-12-25T03:15:00Z,288-1-1-111,generic,
1703474160000,2023-12-25T03:16:00Z,288-1-1-111,generic,
1703474220000,2023-12-25T03:17:00Z,288-1-1-111,generic,
1703474280000,2023-12-25T03:18:00Z,288-1-1-111,generic,
1703474340000,2023-12-25T03:19:00Z,288-1-1-111,generic,
1703474400000,2023-12-25T03:20:00Z,288-1-1-111,generic,
1703474460000,2023-12-25T03:21:00Z,288-1-1-111,generic,
1703474520000,2023-12-25T03:22:00Z,288-1-1-111,generic,
1703474580000,2023-12-25T03:23:00Z,288-1-1-111,generic,
1703474640000,2023-12-25T03:24:00Z,288-1-1-111,generic,
