timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
2024-04-05 00:00:00+00:00,0.017,,33.0,33.0,539.0,541.0,walking,41.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.0,1.61,,100.0,0.0,0.0,31.95,100.0,0,0
2024-04-05 00:01:00+00:00,0.015,,27.0,111.0,713.0,722.0,walking,42.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.0,0.95,,112.0,0.0,0.0,31.88,100.0,0,1
2024-04-05 00:02:00+00:00,0.028,,387.0,804.0,1090.0,1408.0,generic,83.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.02,1.94,,94.0,0.0,6.0,31.88,100.0,0,2
2024-04-05 00:03:00+00:00,0.026,,156.0,1233.0,931.0,1552.0,generic,93.0,sedentary,sitting_reclining_lying,standing,0.03,1.12,,79.0,0.0,5.0,31.84,100.0,0,3
2024-04-05 00:04:00+00:00,0.045,,906.0,1501.0,1548.0,2338.0,generic,98.0,LPA,sitting_reclining_lying,miscellaneous,0.02,2.0,,76.0,0.0,9.0,31.92,100.0,0,4
2024-04-05 00:05:00+00:00,0.031,,260.0,1314.0,947.0,1640.0,generic,126.0,sedentary,sitting_reclining_lying,standing,0.0,1.08,,75.0,0.0,0.0,31.93,100.0,0,5
2024-04-05 00:06:00+00:00,0.021,,88.0,908.0,438.0,1011.0,generic,107.0,sedentary,sitting_reclining_lying,standing,0.0,0.95,,80.0,0.0,0.0,31.9,100.0,0,6
2024-04-05 00:07:00+00:00,0.029,,332.0,935.0,1161.0,1527.0,generic,78.0,LPA,sitting_reclining_lying,standing,0.0,1.97,,72.0,0.0,8.0,31.87,100.0,0,7
2024-04-05 00:08:00+00:00,0.022,,63.0,785.0,574.0,974.0,generic,88.0,sedentary,sitting_reclining_lying,standing,0.0,0.95,,81.0,0.0,5.0,31.83,100.0,0,8
2024-04-05 00:09:00+00:00,0.017,,27.0,715.0,286.0,770.0,generic,88.0,sedentary,sitting_reclining_lying,standing,0.0,0.95,,87.0,0.0,0.0,31.86,100.0,0,9
2024-04-05 00:10:00+00:00,0.012,,21.0,666.0,230.0,704.0,generic,53.0,sedentary,sitting_reclining_lying,standing,0.0,0.95,,96.0,0.0,0.0,31.85,100.0,0,10
2024-04-05 00:11:00+00:00,0.042,,617.0,1434.0,1431.0,2117.0,generic,106.0,LPA,sitting_reclining_lying,standing,0.0,2.53,,84.0,0.0,17.0,31.83,100.0,0,11
2024-04-05 00:12:00+00:00,0.164,,4878.0,3623.0,3102.0,6822.0,generic,130.0,VPA,standing,standing,0.0,6.34,,105.0,0.0,55.0,31.64,100.0,0,12
2024-04-05 00:13:00+00:00,0.12,,2907.0,2106.0,2128.0,4173.0,generic,115.0,MPA,standing,standing,0.0,4.24,,110.0,0.0,36.0,31.41,100.0,0,13
2024-04-05 00:14:00+00:00,0.25,,6711.0,4304.0,4589.0,9198.0,generic,143.0,VPA,standing,standing,0.02,6.47,,114.0,0.0,68.0,31.21,100.0,0,14
2024-04-05 00:15:00+00:00,0.131,,3140.0,2995.0,3908.0,5839.0,generic,148.0,MPA,standing,standing,0.06,4.45,,112.0,0.0,73.0,31.05,100.0,0,15
2024-04-05 00:16:00+00:00,0.128,,2924.0,3548.0,3595.0,5836.0,generic,150.0,VPA,standing,standing,0.02,6.35,,123.0,0.0,57.0,30.9,100.0,0,16
2024-04-05 00:17:00+00:00,0.208,,4592.0,4363.0,3776.0,7374.0,walking,143.0,VPA,standing,standing,0.01,7.07,,132.0,0.0,72.0,30.88,100.0,0,17
2024-04-05 00:18:00+00:00,0.192,,2245.0,2275.0,2828.0,4267.0,walking,129.0,LPA,standing,sitting_reclining_lying,0.01,2.83,,115.0,0.0,97.0,30.78,100.0,0,18
2024-04-05 00:19:00+00:00,0.177,,1700.0,2465.0,2655.0,4001.0,walking,138.0,LPA,standing,sitting_reclining_lying,0.0,2.89,,116.0,0.0,89.0,30.48,100.0,0,19
2024-04-05 00:20:00+00:00,0.133,,1235.0,2237.0,2502.0,3576.0,walking,136.0,MPA,standing,standing,0.01,3.06,,122.0,0.0,71.0,30.22,100.0,0,20
2024-04-05 00:21:00+00:00,0.227,,2712.0,3436.0,2637.0,5110.0,walking,122.0,MPA,standing,standing,0.03,3.84,,109.0,0.0,106.0,29.93,100.0,0,21
2024-04-05 00:22:00+00:00,0.144,,2604.0,3431.0,3514.0,5558.0,generic,141.0,MPA,standing,standing,0.04,4.83,,109.0,0.0,74.0,29.72,100.0,0,22
2024-04-05 00:23:00+00:00,0.095,,2416.0,1473.0,2545.0,3805.0,generic,145.0,LPA,miscellaneous,sitting_reclining_lying,0.0,2.86,,117.0,0.0,44.0,29.37,100.0,0,23
2024-04-05 00:24:00+00:00,0.096,,1616.0,1322.0,2428.0,3202.0,generic,151.0,MPA,standing,standing,0.0,5.14,,107.0,0.0,55.0,29.12,100.0,0,24
2024-04-05 00:25:00+00:00,0.103,,1796.0,1428.0,489.0,2346.0,generic,133.0,VPA,standing,standing,0.0,6.56,,103.0,0.0,11.0,29.13,100.0,0,25
2024-04-05 00:26:00+00:00,0.072,,2231.0,1087.0,830.0,2616.0,generic,128.0,MPA,standing,standing,0.0,4.09,,98.0,0.0,17.0,29.18,100.0,0,26
2024-04-05 00:27:00+00:00,0.111,,4505.0,3950.0,4149.0,7287.0,generic,130.0,LPA,miscellaneous,sitting_reclining_lying,0.0,2.56,,93.0,0.0,59.0,29.37,100.0,0,27
2024-04-05 00:28:00+00:00,0.013,,197.0,434.0,255.0,540.0,generic,53.0,sedentary,sitting_reclining_lying,standing,0.0,1.49,,84.0,0.0,0.0,29.66,100.0,0,28
2024-04-05 00:29:00+00:00,0.016,,193.0,678.0,320.0,774.0,generic,63.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.0,0.95,,83.0,0.0,0.0,29.65,100.0,0,29
2024-04-05 00:30:00+00:00,0.037,,1034.0,1543.0,770.0,2010.0,generic,89.0,LPA,sitting_reclining_lying,miscellaneous,0.0,1.92,,86.0,0.0,0.0,29.76,100.0,0,30
2024-04-05 00:31:00+00:00,0.074,,2406.0,4237.0,4063.0,6344.0,generic,133.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.0,2.75,,94.0,0.0,39.0,29.94,100.0,0,31
2024-04-05 00:32:00+00:00,0.04,,758.0,726.0,522.0,1172.0,generic,119.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.02,2.19,,90.0,0.0,0.0,29.97,100.0,0,32
