timestamp_iso,accelerometers_std_g,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
2024-04-14 23:16:00+00:00,0.091,0.0,3.0,0.0,3.0,still,0.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.0,0.95,53.0,0.0,0.0,29.73,100.0,23,16
2024-04-14 23:17:00+00:00,0.053,1527.0,2923.0,6324.0,7132.0,generic,114.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.0,2.35,56.0,0.0,35.0,29.99,100.0,23,17
2024-04-14 23:18:00+00:00,0.018,235.0,1068.0,266.0,1125.0,generic,44.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.1,1.27,63.0,0.0,0.0,29.61,100.0,23,18
2024-04-14 23:19:00+00:00,0.019,386.0,372.0,577.0,787.0,generic,39.0,sedentary,standing,sitting_reclining_lying,0.09,0.95,62.0,0.0,0.0,29.53,100.0,23,19
2024-04-14 23:20:00+00:00,0.009,213.0,153.0,158.0,306.0,still,10.0,sedentary,miscellaneous,sitting_reclining_lying,0.07,1.46,63.0,0.0,0.0,29.49,100.0,23,20
2024-04-14 23:21:00+00:00,0.015,172.0,95.0,189.0,272.0,still,10.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.06,1.55,56.0,0.0,0.0,29.47,100.0,23,21
2024-04-14 23:22:00+00:00,0.058,1811.0,892.0,2058.0,2882.0,generic,71.0,MPA,standing,standing,0.12,5.35,69.0,0.0,12.0,29.49,100.0,23,22
2024-04-14 23:23:00+00:00,0.042,1202.0,1044.0,1387.0,2111.0,generic,84.0,LPA,sitting_reclining_lying,sitting_reclining_lying,0.11,2.28,74.0,0.0,9.0,29.46,100.0,23,23
2024-04-14 23:24:00+00:00,0.236,4905.0,6371.0,3866.0,8921.0,walking,143.0,VPA,standing,standing,0.21,7.87,81.0,0.0,83.0,29.44,100.0,23,24
2024-04-14 23:25:00+00:00,0.103,1348.0,1834.0,1303.0,2622.0,walking,90.0,MPA,standing,standing,0.33,3.82,71.0,0.0,59.0,29.21,100.0,23,25
2024-04-14 23:26:00+00:00,0.116,3382.0,3394.0,3562.0,5970.0,generic,91.0,MPA,standing,standing,0.15,5.55,62.0,0.0,25.0,29.05,100.0,23,26
2024-04-14 23:27:00+00:00,0.17,4185.0,3805.0,4798.0,7417.0,walking,121.0,VPA,standing,standing,0.12,6.07,65.0,0.0,66.0,29.01,100.0,23,27
2024-04-14 23:28:00+00:00,0.038,1181.0,1366.0,1570.0,2392.0,walking,89.0,LPA,standing,sitting_reclining_lying,0.26,2.27,68.0,0.0,10.0,29.04,100.0,23,28
2024-04-14 23:29:00+00:00,0.016,252.0,22.0,139.0,288.0,walking,47.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,0.22,0.95,61.0,0.0,0.0,29.15,100.0,23,29
2024-04-14 23:30:00+00:00,0.035,702.0,1351.0,901.0,1769.0,walking,75.0,LPA,sitting_reclining_lying,standing,0.17,2.35,64.0,0.0,8.0,29.19,100.0,23,30
2024-04-14 23:31:00+00:00,0.012,57.0,20.0,18.0,63.0,generic,39.0,sedentary,sitting_reclining_lying,standing,0.09,0.95,66.0,0.0,0.0,29.23,100.0,23,31
2024-04-14 23:32:00+00:00,0.02,55.0,3.0,32.0,63.0,generic,61.0,sedentary,sitting_reclining_lying,standing,0.09,0.95,65.0,0.0,0.0,29.26,100.0,23,32
2024-04-14 23:33:00+00:00,0.022,61.0,45.0,27.0,80.0,generic,71.0,sedentary,sitting_reclining_lying,standing,0.1,0.95,67.0,0.0,0.0,29.29,100.0,23,33
2024-04-14 23:34:00+00:00,0.038,656.0,512.0,1675.0,1870.0,generic,83.0,LPA,sitting_reclining_lying,standing,0.1,2.52,73.0,0.0,0.0,29.3,100.0,23,34
2024-04-14 23:35:00+00:00,0.037,668.0,694.0,1135.0,1488.0,generic,96.0,sedentary,sitting_reclining_lying,standing,0.16,1.15,69.0,0.0,0.0,29.27,100.0,23,35
2024-04-14 23:36:00+00:00,0.092,1067.0,957.0,1583.0,2135.0,walking,123.0,MPA,standing,standing,0.3,3.56,74.0,0.0,27.0,29.32,100.0,23,36
2024-04-14 23:37:00+00:00,0.102,1261.0,1203.0,2096.0,2725.0,walking,96.0,MPA,standing,standing,0.15,3.97,68.0,0.0,58.0,29.3,100.0,23,37
2024-04-14 23:38:00+00:00,0.265,3044.0,2696.0,1524.0,4342.0,walking,131.0,MPA,standing,standing,0.14,4.28,88.0,0.0,119.0,29.34,100.0,23,38
2024-04-14 23:39:00+00:00,0.228,4560.0,2341.0,1767.0,5421.0,walking,129.0,MPA,standing,standing,0.21,5.04,105.0,0.0,111.0,29.32,100.0,23,39
