file,timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,respiratory_rate_brpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
cleaned_2024-02-12.csv,0.0,54.4,45.6,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,99.9,54.4,99.8,54.4,54.4,54.4,54.4,0.0,0.0
cleaned_2024-02-13.csv,0.0,0.1,99.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,71.5,0.1,65.1,0.1,0.1,0.1,0.1,0.0,0.0
cleaned_2024-02-14.csv,0.0,8.3,91.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,78.1,8.3,73.3,8.3,8.3,8.3,6.2,0.0,0.0
cleaned_2024-02-15.csv,0.0,4.2,95.8,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.5,4.5,4.2,4.2,76.5,4.2,71.2,4.2,4.2,4.2,0.4,0.0,0.0
cleaned_2024-02-16.csv,0.0,25.6,74.4,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.0,26.0,25.6,25.6,90.9,25.6,88.5,25.6,25.6,25.6,7.1,0.0,0.0
cleaned_2024-02-17.csv,0.0,11.8,88.2,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.9,11.9,11.8,11.8,59.9,11.8,53.9,11.8,11.8,11.8,0.2,0.0,0.0
cleaned_2024-02-18.csv,0.0,4.9,95.1,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,4.9,4.9,64.0,4.9,55.6,4.9,4.9,4.9,2.5,0.0,0.0
cleaned_2024-02-19.csv,0.0,12.0,88.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.4,12.4,12.0,12.0,90.8,12.0,83.6,12.0,12.0,12.0,9.3,0.0,0.0
cleaned_2024-02-20.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,0.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0
cleaned_2024-02-21.csv,0.0,82.4,17.6,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,98.3,82.4,97.6,82.4,82.4,82.4,50.6,0.0,0.0
