file,timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute,respiratory_rate_brpm
cleaned_2024-03-04.csv,0.0,93.1,6.9,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,99.9,93.1,93.1,93.1,93.1,93.1,0.0,0.0,
cleaned_2024-03-05.csv,0.0,0.1,99.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,89.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,95.4
cleaned_2024-03-06.csv,0.0,10.5,89.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,74.8,10.5,27.6,10.5,10.5,10.5,0.0,0.0,89.4
cleaned_2024-03-07.csv,0.0,1.8,98.2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.8,78.4,1.8,1.8,1.8,1.8,1.2,0.0,0.0,93.5
cleaned_2024-03-08.csv,0.0,0.7,99.3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,78.1,0.7,0.7,0.7,0.7,0.0,0.0,0.0,91.3
cleaned_2024-03-09.csv,0.0,5.9,94.1,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,82.1,5.9,5.9,5.9,5.9,5.0,0.0,0.0,91.8
cleaned_2024-03-10.csv,0.0,47.1,52.9,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.2,47.2,47.1,47.1,90.8,47.1,47.1,47.1,47.1,47.1,0.0,0.0,91.7
cleaned_2024-03-11.csv,0.0,13.8,86.2,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,86.8,13.8,13.8,13.8,13.8,0.1,0.0,0.0,89.7
cleaned_2024-03-12.csv,0.0,27.4,72.6,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,73.1,27.4,27.4,27.4,27.4,27.2,0.0,0.0,90.6
cleaned_2024-03-13.csv,0.0,0.1,99.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,75.8,0.1,0.1,0.1,0.1,0.1,0.0,0.0,94.7
cleaned_2024-03-14.csv,0.0,12.4,87.6,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,85.9,12.4,12.4,12.4,12.4,5.3,0.0,0.0,94.7
cleaned_2024-03-15.csv,0.0,68.0,32.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.1,68.1,68.0,68.0,82.9,68.0,73.5,68.0,68.0,57.6,0.0,0.0,85.7
