file,timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute,prv_rmssd_ms,respiratory_rate_brpm
cleaned_2024-03-28.csv,0.0,98.5,1.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,99.2,98.5,98.5,98.5,0.0,0.0,,
cleaned_2024-04-01.csv,0.0,3.3,96.7,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0.0,0.0,79.4,70.9
cleaned_2024-04-02.csv,0.0,3.8,96.2,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.4,0.0,0.0,71.3,65.5
cleaned_2024-04-03.csv,0.0,1.9,98.1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.5,0.0,0.0,74.9,77.5
cleaned_2024-04-04.csv,0.0,3.9,96.1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0.0,0.0,75.7,79.9
cleaned_2024-04-05.csv,0.0,43.6,56.4,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,7.0,0.0,0.0,99.9,
cleaned_2024-04-06.csv,0.0,6.7,93.3,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.9,6.9,6.7,6.7,6.7,6.7,6.7,6.7,6.7,0.0,0.0,83.0,78.9
cleaned_2024-04-07.csv,0.0,2.4,97.6,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.0,0.0,0.0,66.1,63.9
cleaned_2024-04-08.csv,0.0,5.8,94.2,5.8,5.8,5.8,5.8,5.8,5.8,5.8,6.0,6.0,5.8,5.8,5.8,5.8,5.8,5.8,3.8,0.0,0.0,79.2,73.3
cleaned_2024-04-09.csv,0.0,10.6,89.4,10.6,10.6,10.6,10.6,10.6,10.6,10.6,11.4,11.4,10.6,10.6,10.6,10.6,10.6,10.6,9.0,0.0,0.0,78.3,74.6
cleaned_2024-04-10.csv,0.0,14.4,85.6,14.4,14.4,14.4,14.4,14.4,14.4,14.4,15.8,15.8,14.4,14.4,14.4,14.4,14.4,14.4,14.4,0.0,0.0,78.9,82.0
cleaned_2024-04-11.csv,0.0,55.4,44.6,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,0.0,0.0,81.1,80.9
